Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
0.0,0.0,0.0,1.0,39.6,20.0,1.1133,382.0,2.62
0.0,0.0,0.0,0.0,31.29,8.0,0.3143,185.0,3.78
0.0,0.0,0.0,0.0,15.81,1.0,0.0216,104.0,0.0
0.0,0.0,0.0,0.0,43.94,24.0,1.8073,237.0,6.33
0.0,0.0,0.0,0.0,48.65,12.0,0.3908,152.0,4.61
0.0,0.0,0.0,2.0,28.56,122.0,6.0983,1261.0,2.46
0.0,0.0,0.0,0.0,45.85,9.0,0.1456,148.0,4.73
0.0,0.0,0.0,0.0,84.02,1.0,0.0453,54.0,0.0
0.0,0.0,0.0,0.0,22.05,2.0,0.0147,84.0,2.38
0.0,1.0,0.0,0.0,52.67,8.0,0.1206,153.0,1.96
0.0,0.0,0.0,2.0,19.98,63.0,2.1639,209.0,5.26
0.0,0.0,0.0,0.0,42.59,15.0,1.3308,133.0,4.51
0.0,0.0,0.0,0.0,53.61,6.0,0.3252,139.0,0.0
0.0,0.0,0.0,0.0,52.39,9.0,0.4034,88.0,4.55
0.0,2.0,0.0,0.0,53.5,7.0,0.1051,188.0,0.53
0.0,0.0,0.0,0.0,64.32,2.0,0.119,59.0,1.69
0.0,1.0,0.0,0.0,43.18,12.0,0.154,160.0,3.13
0.0,0.0,0.0,0.0,37.57,2.0,0.0219,112.0,1.79
0.0,0.0,0.0,0.0,70.29,4.0,0.0695,106.0,0.94
0.0,0.0,0.0,0.0,15.41,12.0,0.3759,120.0,5.0
0.0,0.0,0.0,0.0,36.01,8.0,0.2697,168.0,4.17
0.0,0.0,0.0,0.0,47.67,9.0,0.1347,167.0,1.8
0.0,1.0,0.0,0.0,46.94,26.0,2.0542,336.0,4.46
0.0,0.0,0.0,0.0,26.27,6.0,0.2885,103.0,0.97
0.0,0.0,0.0,0.0,50.61,2.0,0.1206,109.0,0.0
0.0,0.0,0.0,0.0,36.97,13.0,0.3818,159.0,3.77
0.0,2.0,1.0,-1.0,33.26,69.0,2.728,1048.0,3.72
0.0,0.0,0.0,0.0,74.88,2.0,0.0682,94.0,1.06
0.0,0.0,0.0,0.0,35.54,20.0,0.3317,965.0,1.87
0.0,0.0,0.0,0.0,21.39,21.0,0.8484,217.0,5.99
0.0,0.0,0.0,1.0,45.42,19.0,0.2229,182.0,6.59
0.0,0.0,0.0,2.0,44.67,44.0,2.757,442.0,4.07
0.0,0.0,0.0,0.0,66.44,8.0,0.8814,138.0,2.17
0.0,0.0,0.0,1.0,12.98,3.0,0.0136,156.0,1.92
0.0,0.0,0.0,0.0,60.17,21.0,0.8283,277.0,3.97
0.0,0.0,0.0,0.0,38.55,6.0,0.097,147.0,2.72
0.0,0.0,0.0,0.0,87.54,2.0,0.0798,91.0,0.0
0.0,0.0,0.0,0.0,31.97,7.0,0.355,261.0,2.3
0.0,0.0,0.0,0.0,23.67,44.0,0.9346,908.0,3.41
0.0,0.0,0.0,0.0,48.33,18.0,1.4692,227.0,4.85
0.0,1.0,0.0,1.0,55.28,6.0,0.1815,124.0,2.42
0.0,0.0,0.0,0.0,4.51,4.0,0.029,58.0,3.45
0.0,0.0,0.0,0.0,73.59,1.0,0.0237,60.0,1.67
0.0,0.0,0.0,0.0,20.86,43.0,1.5171,286.0,5.24
0.0,1.0,0.0,0.0,61.55,7.0,0.164,140.0,3.57
0.0,0.0,0.0,0.0,39.52,15.0,0.69,161.0,5.59
0.0,0.0,0.0,1.0,26.57,24.0,1.0346,270.0,4.07
0.0,0.0,0.0,0.0,43.59,3.0,0.0719,95.0,2.11
0.0,0.0,0.0,1.0,31.58,24.0,0.9704,238.0,7.98
0.0,0.0,0.0,0.0,49.3,4.0,0.3801,137.0,2.19
0.0,0.0,0.0,0.0,17.97,1.0,0.0083,109.0,0.0
0.0,0.0,0.0,0.0,4.74,2.0,0.007,94.0,2.13
0.0,0.0,0.0,0.0,48.33,2.0,0.0634,105.0,1.9
0.0,0.0,0.0,0.0,50.9,2.0,0.0257,49.0,2.04
0.0,1.0,0.0,0.0,31.39,30.0,1.533,274.0,4.38
0.0,0.0,0.0,0.0,6.17,6.0,0.054,102.0,3.92
0.0,0.0,0.0,0.0,86.5,1.0,0.0195,53.0,1.89
0.0,0.0,0.0,0.0,17.11,8.0,0.1703,322.0,2.48
0.0,0.0,0.0,0.0,44.12,16.0,1.0156,129.0,3.1
0.0,0.0,0.0,0.0,25.19,13.0,0.8197,171.0,7.6
0.0,0.0,0.0,0.0,53.85,1.0,0.0817,56.0,1.79
0.0,0.0,0.0,0.0,20.48,4.0,0.0644,111.0,0.0
0.0,0.0,0.0,0.0,7.63,3.0,0.0067,86.0,2.33
0.0,3.0,0.0,1.0,34.18,77.0,5.0585,492.0,5.89
0.0,0.0,0.0,3.0,36.16,129.0,8.8361,470.0,8.3
0.0,0.0,0.0,0.0,18.21,18.0,0.5599,198.0,6.57
0.0,0.0,0.0,0.0,43.96,4.0,0.2208,105.0,1.9
0.0,0.0,0.0,0.0,79.47,5.0,0.3963,97.0,3.09
0.0,0.0,0.0,0.0,1.39,1.0,0.0008,48.0,0.0
0.0,0.0,0.0,2.0,22.53,39.0,2.1187,149.0,6.71
0.0,0.0,0.0,0.0,57.77,8.0,0.7959,162.0,2.47
0.0,0.0,0.0,0.0,22.2,2.0,0.0274,102.0,1.96
0.0,0.0,0.0,0.0,31.15,4.0,0.0415,93.0,1.08
0.0,0.0,0.0,0.0,86.82,1.0,0.0584,54.0,0.0
0.0,0.0,0.0,0.0,24.4,12.0,0.192,185.0,1.62
0.0,0.0,0.0,0.0,26.64,1.0,0.026,68.0,0.0
0.0,0.0,0.0,0.0,42.12,23.0,1.889,209.0,2.87
0.0,0.0,0.0,1.0,28.36,104.0,6.7189,720.0,8.06
0.0,0.0,0.0,0.0,33.04,1.0,0.0106,104.0,0.96
0.0,0.0,0.0,0.0,7.73,1.0,0.0079,91.0,0.0
0.0,1.0,0.0,0.0,49.06,3.0,0.0675,97.0,1.03
0.0,0.0,0.0,0.0,48.71,10.0,0.1542,126.0,3.17
0.0,0.0,0.0,0.0,66.44,4.0,0.1543,103.0,2.91
0.0,1.0,0.0,0.0,30.31,15.0,0.1339,205.0,2.44
0.0,0.0,0.0,0.0,35.26,5.0,0.0695,162.0,1.85
0.0,0.0,0.0,0.0,62.44,5.0,0.2047,102.0,2.94
0.0,0.0,0.0,0.0,45.31,4.0,0.143,48.0,0.0
0.0,0.0,0.0,0.0,28.0,2.0,0.0134,82.0,2.44
0.0,0.0,0.0,0.0,37.74,19.0,1.1711,231.0,6.06
0.0,0.0,0.0,0.0,59.11,21.0,1.0619,302.0,4.3
0.0,0.0,0.0,0.0,7.73,1.0,0.0046,154.0,0.65
0.0,0.0,0.0,1.0,31.5,139.0,8.8419,652.0,9.05
0.0,0.0,0.0,0.0,52.52,2.0,0.138,95.0,1.05
0.0,0.0,1.0,0.0,49.56,8.0,0.5374,125.0,3.2
0.0,0.0,0.0,1.0,35.9,19.0,0.8166,180.0,5.56
0.0,0.0,0.0,0.0,51.79,6.0,0.4333,149.0,2.01
0.0,0.0,0.0,0.0,73.65,8.0,1.4502,124.0,4.03
0.0,0.0,0.0,0.0,51.61,4.0,0.0728,93.0,1.08
0.0,0.0,0.0,0.0,41.1,8.0,0.4292,192.0,3.13
0.0,1.0,0.0,0.0,35.6,33.0,1.6349,300.0,6.0
0.0,0.0,0.0,0.0,47.52,5.0,0.0785,91.0,1.1
0.0,0.0,0.0,1.0,61.77,14.0,0.4804,188.0,3.72
0.0,0.0,0.0,0.0,27.36,31.0,1.3758,382.0,3.93
